ID;Address;Latitude;Longitude
1;Goriška cesta 24, 5270 Ajdovščina;45.887444;13.9034
2;Čolnikov trg 9, 2234 Benedikt;46.607139;15.891579
3;Ljubljanska cesta 10, 4260 Bled;46.367513;14.111401
4;Trg svobode 2 C, 4264 Bohinjska Bistrica;46.272271;13.952841
5;Molkov trg 12, 1353 Borovnica;45.919608;14.365884
6;Obrobna ulica 1, 2354 Bresternica;46.567128;15.578361
7;Podpeška cesta 20, 1351 Brezovica pri Ljubljani;46.020464;14.415713
8;Ulica stare pravde 34, 8250 Brežice;45.905011;15.593714
9;Krekov trg 9, 3101 Celje;46.229328;15.267367
10;Ulica Prekmurske čete 14, 9232 Črenšovci;46.569107;16.293557
11;Center 16, 2393 Črna na Koroškem;46.4826;14.883619
12;Kolodvorska cesta 30 A, 8340 Črnomelj;45.574738;15.190462
13;Krtina 144, 1233 Dob;46.152702;14.651583
14;Ulica bratov Gerjovičev 52, 8257 Dobova;45.895049;15.66007
15;Trg 4. julija 1, 2370 Dravograd;46.589171;15.024384
16;Gorišnica 79, 2272 Gorišnica;46.422528;16.035724
17;Cesta na Stadion 1, 9250 Gornja Radgona;46.675168;15.994197
18;Podsmrečje 20, 3342 Gornji Grad;46.293522;14.804191
19;Attemsov trg 8, 3342 Gornji Grad;46.296097;14.805107
20;Partizanska cesta 7, 1290 Grosuplje;45.956088;14.657687
21;Vodnikova ulica 1, 5280 Idrija;46.001438;14.026217
22;Ploščad Osvobodilne fronte 4, 1295 Ivančna Gorica;45.938339;14.805899
23;Ivanjkovci 9 B, 2259 Ivanjkovci;46.462317;16.157213
24;Cankarjev drevored 1, 6310 Izola;45.536834;13.660572
25;Cesta Cirila Tavčarja 8, 4271 Jesenice;46.439778;14.043457
26;Jesenice 9, 8261 Jesenice na Dolenjskem;45.860018;15.688105
27;Cesta v Rošpoh 18, 2351 Kamnica;46.572596;15.612107
28;Ljubljanska cesta 14 A, 1241 Kamnik;46.208836;14.598329
29;Kopališka ulica 2, 2325 Kidričevo;46.403543;15.797108
30;Kobilje 30, 9227 Kobilje;46.6845;16.393219
31;Ljubljanska cesta 23, 1330 Kočevje;45.641872;14.856227
32;Glavarjeva cesta 39, 1218 Komenda;46.202831;14.541776
33;Kolodvorska cesta 9, 6104 Koper;45.540572;13.7397
34;Dražgoška ulica 8, 4101 Kranj;46.248719;14.357246
35;Škofjeloška cesta 17, 4103 Kranj;46.231138;14.346491
36;Jezerska cesta 41, 4104 Kranj;46.247545;14.369225
37;Ulica Lojzeta Hrovata 2, 4105 Kranj;46.238029;14.365879
38;Borovška cesta 92, 4280 Kranjska Gora;46.485133;13.782625
39;Trg Matije Gubca 1, 8271 Krško;45.957997;15.494492
40;Partizanska cesta 3, 2230 Lenart v Slovenskih goricah;46.577416;15.83071
41;Trg ljudske pravice 7, 9220 Lendava;46.561845;16.454912
42;Alpska cesta 37 B, 4248 Lesce;46.361279;14.158019
43;Poljanski nasip 30, 1104 Ljubljana;46.050604;14.515143
44;Pražakova ulica 3, 1106 Ljubljana;46.057103;14.506889
45;Zaloška cesta 57, 1110 Ljubljana;46.056473;14.534872
46;Dunajska cesta 141, 1113 Ljubljana;46.080309;14.51247
47;Riharjeva ulica 38, 1115 Ljubljana;46.038951;14.499443
48;Vodnikova cesta 235, 1117 Ljubljana;46.078772;14.472745
49;Resljeva cesta 14, 1124 Ljubljana;46.054336;14.511109
50;Letališka cesta 12, 1122 Ljubljana;46.060887;14.54678
51;Tacenska cesta 94, 1133 Ljubljana;46.11333;14.462357
